ranking,jp_name,eng_name,agency,total_subs,total_views
68,おめがレイ おめがリオ,おめがシスターズ [Ω Sisters],upd8,"229,000","55,004,838"
69,郡道美玲(ぐんどうみれい),【3年0組】郡道美玲の教室,にじさんじ(統合後),"228,000","24,017,798"
70,Melody,Projekt Melody, ,"218,000","3,439,814"
71,鷹宮リオン,鷹宮リオン,にじさんじ(SEEDs出身),"216,000","28,347,484"
72,花鋏キョウ,花鋏キョウ/キョウちゃんねる,Re:AcT,"216,000","25,957,005"
73,シスター・クレア,シスター・クレア -SisterClaire-,にじさんじ(SEEDs出身),"215,000","21,938,263"
74,加賀美ハヤト,加賀美 ハヤト/Hayato Kagami,にじさんじ(統合後),"207,000","22,909,560"
75,黛灰(まゆずみかい),黛 灰 / Kai Mayuzumi【にじさんじ】,にじさんじ(統合後),"202,000","23,453,618"
76,でびでび・でびる,でびでび・でびる,にじさんじ(SEEDs出身),"202,000","18,275,689"
77,しぐれうい, ,順位をツイート,"202,000","6,699,811"
78,馬犬,BKNChannel,転生組,"200,000","2,294,111"
79,勇気ちひろ,勇気ちひろ,にじさんじ(1・2期生),"198,000","22,822,362"
80,ドーラ, ,にじさんじ(SEEDs出身),"197,000","17,686,447"
81,名取さな,さなちゃんねる, ,"197,000","14,415,612"
82,星川サラ,星川サラ,にじさんじ(統合後),"196,000","12,963,571"
83,バーチャル番組連盟,バーチャル番組チャンネル, ,"195,000","15,148,919"
84,ガッチマンV, , ,"193,000","2,975,388"
85,エクス・アルビオ,エクス・アルビオ -Ex Albio-,にじさんじ(統合後),"191,000","25,797,450"
86,ヤミクモケリン,ケリン,upd8,"188,000","22,841,587"
87,杏仁ミル, ,YahooTV,"188,000","6,823,807"
88,アズマ リム(アズリム),Azuma Lim Channel -アズマ リム-, ,"186,000","10,345,762"
89,夜見れな(よるみれな),夜見れな/yorumi rena【にじさんじ所属】,にじさんじ(統合後),"185,000","20,318,772"
90,健屋花那(すこやかな),健屋花那【にじさんじ】KanaSukoya,にじさんじ(統合後),"184,000","9,175,497"
91,鳩羽つぐ,鳩羽つぐ, ,"184,000","8,533,066"
92,ピンキーポップヘップバーン,Pinky Pop Hepburn Official,VIC,"184,000","8,050,048"
93,童田明治(わらべだめいじー),童田明治-わらべだめいじー-,にじさんじ(統合後),"183,000","15,111,186"
94,物述有栖,♥️♠️物述有栖♦️♣️,にじさんじ(1・2期生),"178,000","12,792,015"
95,ジョー・力一(じょーりきいち),ジョー・力一 Joe Rikiichi,にじさんじ(SEEDs出身),"177,000","16,312,167"
96,舞元啓介, ,にじさんじ(SEEDs出身),"176,000","21,917,128"
97,花畑チャイカ,花畑チャイカ,にじさんじ(SEEDs出身),"171,000","20,599,550"
98,夢追翔,夢追翔のJUKE BOX,にじさんじ(SEEDs出身),"169,000","21,982,988"
99,剣持刀也,剣持刀也,にじさんじ(1・2期生),"168,000","25,238,537"
100,森中花咲,森中花咲,にじさんじ(1・2期生),"168,000","21,717,709"
101,獅子神レオナ,獅子神レオナ/レオナちゃんねる,Re:AcT,"164,000","29,771,820"
102,神楽めあ,神楽めあ / KaguraMea,ぱりぷろ,"163,000","9,291,543"
103,ニュイ・ソシエール,ニュイ・ソシエール //[Nui Sociere],にじさんじ(統合後),"161,000","16,875,654"
104,三枝明那(さえぐさあきな),三枝明那 / Akina Saegusa,にじさんじ(統合後),"159,000","13,243,688"
105,因幡はねる,Haneru Channel / 因幡はねる 【あにまーれ】,あにまーれ,"156,000","25,557,986"
106,懲役太郎,懲役太郎チャンネル,upd8,"156,000","25,008,359"
107,由宇霧,由宇霧ちゃんねる【しくじり性教育】,upd8,"156,000","19,102,119"
108,不知火フレア,Flare Ch. 不知火フレア,ホロライブ,"156,000","10,397,230"
109,クレア,クレア英会話,Unlimited,"156,000","8,569,607"
110,Aisha Channel, , ,"156,000","7,305,130"
111,イヴ・ヴァルレーヌ,EvE channel, ,"152,000","8,071,607"
112,もこ田めめめ,もこめめ*channel,.LIVE,"148,000","13,531,118"
113,久遠千歳,Kudou_chitose / 久遠千歳, ,"148,000","6,324,546"
114,夜空メル,Mel Channel 夜空メルチャンネル,ホロライブ,"148,000","3,416,521"
115,Ami Yamato(海外),Ami Yamato, ,"147,000","7,742,723"
116,エルフのえる,エルフのえる / にじさんじ所属,にじさんじ(1・2期生),"144,000","11,260,881"
117,海堂飛鳥・苺谷星空,バーチャルジャニーズプロジェクト公式, ,"144,000","10,432,283"
118,田中好男,田中のおっさん, ,"144,000","4,808,356"
121,燦鳥ノム(さんとりのむ),燦鳥ノム - SUNTORY NOMU -, ,"142,000","21,428,135"
122,姫森ルーナ,Luna Ch. 姫森ルーナ,ホロライブ,"141,000","6,182,566"
123,Account Girl,VTuber Channel Account Girl 會計妹,転生組,"138,000","37,820,576"
124,天開司,バーチャル債務者youtuber天開司, ,"138,000","22,013,886"
125,葉加瀬冬雪(はかせふゆき),葉加瀬 冬雪 / Hakase Fuyuki,にじさんじ(統合後),"138,000","12,218,209"
126,桜凛月, ,にじさんじ(SEEDs出身),"138,000","11,374,582"
127,Andi Adinata,Andi Adinata Channel, ,"136,000","8,111,441"
128,渋谷ハル,渋谷ハル,upd8,"133,000","25,210,310"
129,文野環,文野環【にじさんじの野良猫】ふみのたまき,にじさんじ(1・2期生),"132,000","6,685,087"
130,甲賀流忍者 ぽんぽこ,ぽんぽこちゃんねる, ,"130,000","32,102,314"
131,ラトナ・プティ,ラトナ・プティ -Ratna Petit -にじさんじ所属,にじさんじ(統合後),"130,000","11,291,123"
132,アキ・ローゼンタール,アキロゼCh。Vtuber/ホロライブ所属,ホロライブ,"130,000","5,597,663"
133,宇志海いちご,宇志海いちご,にじさんじ(1・2期生),"128,000","8,123,107"
134,天宮こころ,天宮 こころ / Kokoro Amamiya 【にじさんじ所属】,にじさんじ(統合後),"128,000","8,033,249"
135,松村上久郎, ,転生組,"127,000","10,109,632"
136,シェリン・バーガンディ,シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】,にじさんじ(統合後),"127,000","8,697,469"
137,AZKi,AZKi Channel,ホロライブ,"126,000","7,147,540"
138,音霊魂子 水菜月夏希 石狩あかり,あおぎり高校, ,"125,000","22,146,546"
139,夕陽リリ,Yuhi Riri Official,にじさんじ(1・2期生),"125,000","10,210,313"
140,常闇トワ(とこやみとわ),Towa Ch. 常闇トワ,ホロライブ,"125,000","4,788,290"
141,高生紳士, ,VEEMusic,"124,000","31,014,912"
142,不破湊(ふわみなと),不破 湊 / Fuwa Minato【にじさんじ】,にじさんじ(統合後),"124,000","11,818,526"
143,かしこまり,Mari Channel,upd8,"123,000","19,175,618"
144,魔界ノりりむ, ,にじさんじ(ゲーマーズ出身),"123,000","10,367,014"
145,家長むぎ,家長むぎ【にじさんじ所属】,にじさんじ(1・2期生),"123,000","3,572,162"
146,フレン・E・ルスタリオ, ,にじさんじ(統合後),"122,000","5,522,545"
147,楠栞桜(くすのきしお),楠栞桜 / Kusunoki Sio,順位をツイート,"122,000","5,178,900"
148,相羽ういは,相羽ういは〖Aiba Uiha〗にじさんじ所属,にじさんじ(統合後),"121,000","9,712,924"
149,神田笑一,【にじさんじ】神田笑一,にじさんじ(SEEDs出身),"120,000","13,396,004"
150,イブラヒム,イブラヒム【にじさんじ】,にじさんじ(統合後),"120,000","9,686,001"
151,はかりかんな,-かんなチャンネル-Kanna Channel,フェレット女学院,"120,000","7,137,571"
152,卯月コウ,卯月コウ,にじさんじ(SEEDs出身),"118,000","13,912,602"
153,西園寺メアリ,Mary Channel / 西園寺メアリ【ハニスト】,ハニーストラップ,"117,000","12,976,683"
154,ぐでたま,GUDETAMA / ぐでたま【Sanrio Official】,サンリオ,"115,000","42,769,200"
155,えま★おうがすと, ,にじさんじ(統合後),"114,000","4,250,417"
156,夜桜たま,夜桜たま, ,"113,000","11,542,475"
157,流石乃ルキ 流石乃ロキ,ルキロキチャンネル - Ruki Roki Channel -, ,"112,000","12,696,332"
158,白雪巴(しらゆきともえ),白雪 巴/Shirayuki Tomoe【にじさんじ】,にじさんじ(統合後),"111,000","5,555,853"
159,黒井しば,黒井しば【にじさんじの犬】,にじさんじ(SEEDs出身),"110,000","7,576,203"
160,超人女子戦士 ガリベンガーV(テレビ朝日),超人女子戦士 ガリベンガーV,.LIVE,"109,000","20,188,898"
161,ふぇありす,Fairys Channel,バ美肉,"109,000","11,620,911"
162,北上双葉,北上双葉,.LIVE,"109,000","8,181,520"
163,レヴィ・エリファ,レヴィ・エリファ-Levi Elipha-,にじさんじ(統合後),"109,000","7,617,479"
164,ばあちゃる,【世界初?!】男性バーチャルYouTuber ばあちゃる,.LIVE,"108,000","6,763,108"
165,愛園愛美(あいぞのまなみ),愛園 愛美/Aizono Manami,にじさんじ(統合後),"108,000","4,857,966"
166,葉山舞鈴,葉山舞鈴 / Hayama Marin【にじさんじ所属】,にじさんじ(統合後),"107,000","10,925,989"
167,歌衣メイカ,メイカちゃんねる,upd8,"107,000","10,185,432"
168,メリッサ・キンレンカ, ,にじさんじ(統合後),"107,000","7,114,918"
169,浅井ラム,浅井ラム映画レビュー【知的風ハット】, ,"106,000","16,562,868"
170,金剛いろは, ,.LIVE,"105,000","7,993,410"
171,雨森小夜, ,にじさんじ(SEEDs出身),"105,000","6,538,760"
172,町田ちま,町田ちま【にじさんじ】,にじさんじ(SEEDs出身),"104,000","7,155,467"
173,モイラ,《にじさんじ所属の女神》モイラ,にじさんじ(1・2期生),"104,000","6,691,597"
174,ましろ,ましろ / Mashiro,にじさんじ(統合後),"104,000","6,057,129"
175,風見唯花,YUIKA'S ROOM,Unlimited,"103,000","4,271,629"
176,かぐらなな,かぐらなな / ななかぐ辛党Ch, ,"103,000","2,303,348"
177,柚木凛,ゆずきチャンネル, ,"102,000","10,983,493"
178,早瀬走(はやせそう),早瀬 走 / Hayase Sou【にじさんじ所属】,にじさんじ(統合後),"100,000","5,957,301"
179,Project A.I.D,Project A.I.D 公式チャンネル,順位をツイート,"100,000","4,869,725"
180,エリー・コニファー,エリー・コニファー / Eli Conifer【にじさんじ】,にじさんじ(統合後),"97,500","3,961,657"
181,ディープウェブ・アンダーグラウンド,DeepWebUnderground, ,"96,700","5,171,754"
182,魔使マオ(まつかいまお),魔使マオ -matsukai mao-,にじさんじ(統合後),"96,100","5,179,405"
183,赤羽葉子,Akabane Channel,にじさんじ(ゲーマーズ出身),"95,900","3,605,819"
184,渋谷ハジメ,渋谷ハジメのはじめ支部,にじさんじ(1・2期生),"95,500","11,990,396"
185,ともえとエルゼのほんわかASMR, , ,"94,600","24,146,660"
186,クロノワール(叶 葛葉),ChroNoiR,にじさんじ(ゲーマーズ出身),"94,500","2,569,175"
187,波羅ノ鬼, , ,"93,700","7,186,030"
188,ピーナッツくん,ピーナッツくん!オシャレになりたい!, ,"93,500","17,974,666"
189,斗和キセキ, ,Pictoria,"90,100","2,839,962"
190,APOKI TV, , ,"90,000","5,026,097"
191,放課後ゲーム部, ,Unlimited,"90,000","3,450,579"
192,星乃めあ,星乃めあ - virtual singer -,夢見坂学院,"89,500","10,840,388"
193,花京院ちえり,花京院ちえり,.LIVE,"89,300","12,403,324"
194,ルイス・キャミー, ,にじさんじ(統合後),"89,300","3,339,703"
195,餅月ひまり,ひまりソング, ,"89,100","6,915,683"
196,YuChan Channel, , ,"89,000","1,621,011"
197,SALLA.R, , ,"87,400","5,571,018"
