ranking,jp_name,eng_name,agency,total_subs,total_views
322,みなかぜアメ,Ame Channel -みなかぜアメ-,あいすらぼ,"48,700","3,659,436"
323,天翔院ひいな,ひいなちゃんねる,PinkPunkPro,"48,500","1,365,867"
324,三崎のなか, , ,"48,200","2,512,323"
325,安土桃,安土桃,にじさんじ(SEEDs出身),"47,900","1,277,812"
326,型落おねーさん,型落チャンネル, ,"47,700","5,551,449"
327,音霊魂子,たまこ。Ch./あおぎり高校, ,"47,500","1,861,921"
328,【おきなわ部】根間うい, , ,"47,300","2,895,206"
329,放課後ミッドナイターズ,【公式】放課後ミッドナイターズチャンネル, ,"46,900","3,970,714"
330,ゴールドシップ(ゴルシ),ぱかチューブっ!,順位をツイート,"45,900","3,722,372"
331,音俣るか,RUKA Ch. - 音俣るか -, ,"45,800","1,963,969"
332,赤井はあと(サブチャンネル),Akai Haato Sub 赤井はあと,ホロライブ,"45,200","85,619"
333,ンヌグム,ォ逅, ,"45,100","5,142,527"
334,直感×アルゴリズム♪,Live Animation Heart x Algorhythm, ,"45,100","4,650,254"
335,TOKYO WAVE!, , ,"44,900","4,344,740"
336,高槻りつ,高槻りつ / Takatsuki ritsu,ぱりぷろ,"44,800","1,513,121"
337,りんくろー,りんくろー事務所,WFLE,"44,400","1,842,515"
338,なちょこ,NACHOCO Channel,WFLE,"44,300","2,050,663"
339,ムーナ・ホシノヴァ,Moona Hoshinova hololive-ID,ホロライブ,"44,100","874,738"
340,届木ウカ,届木ウカ/Todoki Uka Channel,元ENTUM,"43,000","2,144,504"
341,射貫まとい,射貫まといちゃんねる,Re:AcT,"42,600","4,046,272"
342,ヤマダ,プロジェクト東京ドールズチャンネル, ,"42,600","2,203,615"
343,皆守ひいろ,皆守ひいろ/ Hero Minamori,元ENTUM,"42,500","1,466,143"
344,祭 雛子/まつり ひなこ, , ,"42,400","5,009,325"
345,天野ピカミィ. Pikamee, ,VOMS,"42,200","1,272,238"
346,奏天まひろ 燈舞りん 音葉なほ 鈴鳴すばる,まりなすチャンネル【仮】,順位をツイート,"42,100","5,413,275"
347,名伽尾アズマ(なかお あずま),名伽尾アズマ☀️, ,"41,900",0
348,春崎エアル,春崎エアル,にじさんじ(SEEDs出身),"41,500","956,332"
349,アイラニ・イオフィフティーン,Airani Iofifteen Channel hololive-ID,ホロライブ,"41,300","537,397"
350,スライム子,オバマス放送局 / オーバーロード, ,"41,100","2,237,251"
351,愛宮みるく,愛宮みるくMilk Enomiya,のりプロ,"40,900","604,196"
352,Planya Сhannel, , ,"40,500","767,233"
353,海夜叉神,海夜叉神/黄泉波咲夜【にじさんじ】, ,"40,100",0
354,バチュアルモンスター(海外),버츄얼몬스터, ,"39,900","5,199,948"
355,今酒ハクノ,Hakuno Imasaka, ,"39,600","4,820,646"
356,竹花ノート,ノート竹花,バ美肉,"39,600","441,446"
357,東雲めぐ,MeguRoom,Gugenka,"39,400","657,219"
358,乾物ひもの(かんぶつひもの),ひものちゃんねる -HIMONO CHANNEL-, ,"38,900","1,999,005"
359,天輝おこめ,-おこめチャンネル-Okome Channel, ,"38,700","2,130,628"
360,キャサリン・ワード,殺戮の天使公式チャンネル, ,"38,600","1,338,801"
361,めいでん, ,OPEN BETA,"38,300","3,362,076"
362,鈴木あんず 白藤環 夏目ハル 日向奈央 栗原桜子(えのぐ),【VRアイドル】えのぐチャンネル,岩本町芸能社,"38,200","2,278,987"
363,アキ・ローゼンタール(サブチャンネル),AkiRose Ch.アキ・ローゼンタールSub,ホロライブ,"38,000","51,534"
364,有栖マナ,有栖マナ/Alice mana 【541 E&C】,ぱりぷろ,"37,900","1,750,994"
365,月見しずく, , ,"37,600","878,916"
366,柊彩香 朝倉日向,あやひなチャンネル,Unlimited,"36,300","2,005,522"
367,メンラボ!, , ,"36,200","4,927,309"
368,バーチャル執事Cecilia, ,順位をツイート,"36,000","4,977,606"
369,ユキミお姉ちゃん,ユキミお姉ちゃんねる, ,"36,000","2,661,373"
370,くるみ,くるみ!, ,"35,900","2,041,860"
371,緑仙サブチャンネル,みどりのさぶちゃんねる,にじさんじ(SEEDs出身),"35,800","1,354,163"
372,浅瀬ゆうぎ,OL CHANNEL, ,"35,600","3,771,481"
373,あっくん大魔王, , ,"35,300","2,529,859"
374,万楽えね(まぐら えね),バーチャルYouTuber万楽えね, ,"34,900","2,103,252"
375,花奏かのん(かなでかのん),花奏 かのん -Kanade Kanon Official-,ブイアパ,"34,300","1,960,242"
376,源元気,Gengen Channel, ,"34,200","2,772,858"
377,語部紡(かたりべつむぐ),語部紡,にじさんじ(統合後),"34,200","291,120"
378,みあたみちゃんねる,みあたみちゃんねるmiatamiChannel, ,"33,800","1,485,950"
379,セフィラ・スゥ, , ,"33,800","1,155,874"
380,プラム, , ,"33,400","1,293,257"
381,ぼっちぼろまる, , ,"33,000","3,552,660"
382,わにこ沼地辺境伯, , ,"33,000","1,238,874"
383,ヰ世界情緒(いせかいじょうちょ),ヰ世界情緒,神椿,"32,800","2,142,935"
384,にじさんじ公式(サブチャンネル),にじさんじ[公式サブch],にじさんじ(1・2期生),"32,800","22,607"
385,エマ・ミナミ,Emma Hazy Minami, ,"32,600","3,190,072"
386,ラトナ・プティ(サブチャンネル),ラトナ・プティ.RatnaPetit《にじさんじ所属》,にじさんじ(統合後),"32,000",0
387,道明寺ここあ,COCOA CHANNEL,Unlimited,"31,900","1,005,787"
388,をとは(海月ねう),0108 official,upd8,"31,800","942,679"
389,野外料理製作/CAMPPER'S HORIZON, ,順位をツイート,"31,700","8,717,904"
390,華香院つばき, ,順位をツイート,"31,600","1,480,624"
391,まどろみもあ,More Channel-まどろみもあ-,あいすらぼ,"31,500","1,863,693"
392,かいとんスタジオ, , ,"31,400","7,142,684"
393,皇牙サキ,とりま、サキんち寄ってく?,WFLE,"31,300","1,027,697"
394,しのぎチャンネルShinogi Channel, ,順位をツイート,"31,200","9,351,266"
395,八朔ゆず,八朔ゆず【にじさんじ】, ,"31,000",0
396,あるふぁブラザーズ, ,upd8,"30,900","710,289"
397,風見くく,Kuku Channel / 風見くく 【あにまーれ】,あにまーれ,"30,900","583,884"
398,雅まつり 雅雪巴 雅さくら 雅紅羽,まじかるどーる / Magical Doll,UUUM,"30,300","3,919,956"
399,夕悠夜赤,夕悠夜 赤.二代目・赤.,VEEMusic,"30,100","4,556,029"
400,磁富モノエ, ,VOMS,"30,000","768,828"
401,雑葉学美 - Zouba Channel, , ,"29,900","5,292,028"
402,かめっち,かめっちTV【バーチャルおやじユーチューバー】, ,"29,900","856,288"
403,バーチャルグランドマザー小林幸子,小林幸子のさっちゃんねる, ,"29,800","1,116,898"
404,谷田透佳 立花鈴,Marprilチャンネル,岩本町芸能社,"29,700","2,015,048"
405,みみたろうChannel, , ,"29,700","799,333"
406,はなつぐ / Hanatsugu, , ,"29,700","356,440"
407,楪帆波(ゆずりはほなみ),楪 帆波-Yuzuriha Honami-,星めぐり学園,"29,600","486,112"
408,ヒヅキミウ,ヒヅキミウ/MIU CHANNEL,WACTOR,"29,400","1,383,782"
409,春日部つくし,春日部つくし,upd8,"29,400","825,487"
410,ハニーストラップ公式,HoneyStrap Official / ハニーストラップ公式,ハニーストラップ,"29,300","1,461,722"
411,飛鮫ナミ 海月ナギ,ナギナミちゃんねる, ,"29,200","2,113,743"
412,本間ひまわり(サブチャンネル),本間ひまわり切り抜きチャンネル,にじさんじ(ゲーマーズ出身),"29,000","2,154,975"
413,粛正罰丸, , ,"29,000","2,078,883"
414,カフェ野ゾンビ子,Zombi-Ko Channel,upd8,"28,800","2,410,551"
415,鈴木勝(旧),D.E.放送局【鈴木勝/にじさんじ】,にじさんじ(SEEDs出身),"28,600","742,911"
416,マリー・アンドロイド 青山ジンベエ,マリーちゃんのチャンネル, ,"28,500","1,782,070"
417,イオウ/Iaughingfox, , ,"28,500","1,526,070"
418,花丸はれる,花丸はれる / Hareru Hanamaru,花寄女子寮,"28,500","1,013,134"
419,幽ヶ崎海愛(ゆうがさきうみ),うみCh.幽ヶ崎海愛,星めぐり学園,"27,900","434,349"
420,シロ(ゲーム),電脳少女シロGames,.LIVE,"27,900","101,945"
421,風宮まつり,風宮まつり / Matsuri Channel,Balus,"27,700","984,595"
422,シエラ・ルーニス(Overidea),Overidea公式/オーバーライディア, ,"27,700","908,524"
423,VTuber AdPro廣告達人, , ,"27,500","5,864,068"
424,宇宙人Psyder, , ,"27,500","525,333"
425,幼龍埜ゆい, ,VGaming,"27,400","1,033,352"
426,Clarra Charlone(海外),Clarra Charlone Official, ,"27,400","903,865"
427,TEN,TENイシノマキ,転生組,"27,100","16,027,149"
428,アルム・フェルラーベン,アルム 虜獲得チャンネル,PinkPunkPro,"27,100","969,754"
429,成瀬鳴,成瀬 鳴,にじさんじ(SEEDs出身),"27,100","847,620"
430,夢魔ぺろり,夢魔ぺろりPerori Muma,順位をツイート,"27,000","2,256,249"
431,御来屋久遠,御来屋 久遠 -mikuriya 9on-,元ENTUM,"26,900","1,038,347"
432,Note: - Vsinger -, , ,"26,800","666,345"
433,羽宮のあ, ,OPEN BETA,"26,600","2,026,212"
434,可憐,「シスター・プリンセス」20周年チャンネル,順位をツイート,"26,600","1,503,256"
435,麗子ちゃんねる, , ,"26,600","463,002"
436,水科葵(みずしなあおい),水科葵の日常RPG,GEMS COMPANY,"26,400","1,756,832"
437,律可,Rikka ch.律可,ホロスターズ,"26,400","927,442"
438,虎妮(フニー),Hoonie friends,YahooTV,"26,300","2,246,671"
439,柾花音(まさきかのん),まかのん channel（仮）, ,"26,300","73,198"
440,花雲くゆり, ,星めぐり学園,"26,200","239,870"
441,夜の雑学 金美館通りの藤村さん, , ,"26,100","4,575,984"
442,緋笠トモシカ,緋笠トモシカ - Tomoshika Hikasa -,VOMS,"26,100","545,377"
443,ミディ,ミディ / 作曲バーチャルyoutuber,元ENTUM,"26,000","888,751"
444,ヌール,Noor【NIJISANJI IN】,NIJISANJI IN,"25,900","382,042"
445,根羽清ココロ,Cocoro Ch by ロート製薬, ,"25,700","1,345,619"
446,THE BINARY mido & あかまる, , ,"25,600","1,665,348"
447,紙代なつめ,Natsume Ch / 紙代なつめ【めるぷら】,めるぷら,"25,500","1,259,945"
448,桜月花音,のんちゃんねる【桜月花音】,upd8,"25,500","1,214,997"
449,バーチャルネットアイドルちゆ12歳,バーチャルネットアイドルちゆ12歳,順位をツイート,"25,200","1,917,056"
450,ジェイブ-VTuber-, , ,"25,100","525,933"
451,ゼア・コルネリア,ZEA Cornelia Ch.【NIJISANJI id】,NIJISANJI ID,"25,000","607,622"
452,悪魔のメムメムちゃんねる, ,順位をツイート,"24,800","742,882"
453,琴月てと,琴月てとチャンネル,順位をツイート,"24,700","2,107,930"
454,弐珠司,ふたたまちゃんねる, ,"24,700","1,404,824"
455,おさナズナ,おさナズちゃんねる -OsaNazu Channel-,Akihabara Lab,"24,500","1,116,951"
456,柚木玲奈,Reina Official Live, ,"24,400",0
457,千草はな,千草はな / Chigusa Hana,ぱりぷろ,"24,300","853,138"
458,シラクサアーカイブス, , ,"24,000","10,500,773"
459,小山内めい 小山内いちか,バーチャル園児-めいちゃんねる,upd8,"23,700","1,349,380"
460,ふらむChannel, , ,"23,500","20,422,770"
461,おいよ, , ,"23,500","1,415,867"
462,エルセとさめのぽき, , ,"23,500","1,357,341"
463,桜木建二,ドラゴン桜チャンネル, ,"23,300","2,182,659"
464,ゲヱム道館, ,順位をツイート,"23,000","1,820,596"
465,白宮みみ,白宮みみちゃんねる,あにまーれ,"23,000","627,404"
466,橘涼葉(たちばなすずは),橘 涼葉, ,"22,800","1,906,221"
467,榎宮祐, ,バ美肉,"22,800","108,197"
468,花芽なずな,なずちゃんねる,LVG/IBG,"22,500","1,256,415"
469,いるはーと,いるはーと,順位をツイート,"22,500","950,666"
470,メノ(Meno), , ,"22,400","16,020,833"
471,さはな,さはな【VTuber】, ,"22,400","2,230,824"
472,野々宮ののの,野々宮ののの / Nonono Nonomiya,花寄女子寮,"22,400","555,192"
473,ニーツ（VT-212）,ニーツちゃんねる,元ENTUM,"22,300","1,012,257"
474,KoyaBottons, , ,"22,300","881,962"
475,柚原いづみ(ゆのはらいづみ),Izumi Channel / 柚原いづみ 【あにまーれ】,あにまーれ,"22,300","619,734"
476,十刹那さん十寒色系voice。, , ,"22,100","1,267,398"
477,綺羅星ウタ,綺羅星ウタ/ウタちゃんねる,Re:AcT,"22,000","1,995,303"
478,石狩あかり,石狩あかり/あおぎり高校, ,"22,000","431,705"
479,歌衣イツミ,イツミちゃんねる, ,"21,800","453,400"
480,コグレピヨコ,コグレピヨコ / PIYOKO CHANNEL,WACTOR,"21,700","342,116"
481,カナタヒカリ,Kanata Hikari / LYTO, ,"21,600","3,080,642"
482,月下カオル(つきしたかおる),Kaoru Ch.月下カオル,ホロスターズ,"21,600","419,483"
483,緋色すもも, ,セガ,"21,500","1,399,771"
484,馬越健太郎,馬越健太郎チャンネル,岩本町芸能社,"21,300","1,459,005"
485,ぺぺろん,ぺぺろん /現役セクシー女優の異世界転生, ,"21,300","588,547"
486,Darin V, , ,"21,200","447,913"
487,HIMARI Channel, , ,"21,100","911,396"
488,cerita tessa(海外),cerita tessa, ,"21,100","458,229"
489,梔子スイ,梔子スイ / Sui Kuchinashi, ,"21,100","25,472"
490,カッパはんちょー, , ,"20,922",0
491,Pinky Fantastic, ,順位をツイート,"20,900","4,375,454"
492,バーチャルクラフター塩胡椒, , ,"20,900","1,977,268"
493,姫熊りぼん, ,Re:AcT,"20,800","1,219,289"
494,さょちゃん,Sayo Channel, ,"20,800","887,685"
495,ニー子ちゃんねる, , ,"20,800","479,343"
496,水菜月夏希,なつきちゃんねる*。/あおぎり高校, ,"20,700","146,627"
497,ハネたん魔法陣HeartTV, ,転生組,"20,600","7,513,655"
498,琴みゆり,琴みゆり/わいちゃんねる,Re:AcT,"20,600","1,560,899"
499,Paryi Channel, ,ぱりぷろ,"20,600","71,194"
500,Team双葉湖, , ,"20,500","1,755,794"
501,蒼乃ゆうき, ,Pictoria,"20,500","716,956"
502,天川はの(あまかわはの),天川はの,Re:AcT,"20,400","1,507,700"
503,REALITY Studio, ,WFLE,"20,400","957,605"
504,夜子・バーバンク,夜子・バーバンク / 映画紹介VTuber,Balus,"20,400","651,616"
505,柚木チャンネル ♡生放送専用♡, , ,"20,400","150,937"
506,あめのむらくもP Official Channel, , ,"20,300","1,777,102"
507,つのはねあかぎ 天目童心,天目童心Channel,upd8,"20,100","823,748"
508,小東ひとな(こひがしひとな),小東ひとな / Hitona Kohigashi,花寄女子寮,"20,100","638,650"
509,青猫*Vtuber＆ゆっくり*, , ,"19,900","4,902,351"
510,花野蜜,花野蜜【ENTUM所属】,元ENTUM,"19,900","710,622"
511,Eve,Eve scp,upd8,"19,800","453,483"
512,オッドアイ,/ ODDAIオッドアイ, ,"19,700","5,328,652"
513,バーチャルねこ, ,upd8,"19,700","2,119,723"
515,柚木凛,ゆずきチャンネル, ,"19,500","679,501"
516,蒔田陽丸,ひま食堂channel -HIMASHOKUDO channel-, ,"19,400","1,424,370"
517,毒のお兄さん, , ,"19,400","304,618"
518,Ryuki M426, , ,"19,300","7,518,500"
519,ミソシタ,poemcore tokyo, ,"19,100","2,303,299"
520,天羽よつは, ,VGaming,"19,100","1,887,093"
521,臓器悪い系バーチャルYouTuber狼娘ちゃんアットおどろく, , ,"19,100","1,332,694"
522,歌衣アズミ,アズミちゃんねる, ,"19,100","354,708"
523,FPSやめれないんだけどwwTV, , ,"18,800","1,120,834"
524,文化放送V&R, , ,"18,800","339,766"
525,VRScout, , ,"18,700","5,686,057"
526,双理マイ,双理マイ/マイちゃんねる, ,"18,700","1,479,131"
527,Vtuberシーエ, , ,"18,700","921,327"
528,佐藤麗華,佐藤麗華【22/7公式】,22/7,"18,700","560,330"
529,ぴろぱる, , ,"18,600","857,091"
530,キズナアイ(China),A.I.Channel China, ,"18,400","414,667"
531,タカ・ラディマン,Taka Radjiman Ch.,NIJISANJI ID,"18,100","525,291"
532,七瀬タク,七瀬タク-Official Channel-,Akihabara Lab,"18,000","1,144,177"
533,Ryuuseee Official, , ,"18,000","595,960"
534,しきぶTV, , ,"17,800","328,211"
535,神城くれあ(麗),神城くれあ/Kurea Channel【おとりざ】,元おとりざ,"17,700","814,994"
536,六道冥,地獄ちゃんねる,順位をツイート,"17,400","582,262"
537,軍師ミノル, , ,"17,300","1,882,887"
538,バーチャルエコノミスト 千莉, , ,"17,300","971,373"
539,姫宮ナオ-ゆっくりナオ, , ,"17,200","3,340,884"
540,Palette Project Channel, , ,"17,200","1,248,386"
541,花園セレナ, ,ぱりぷろ,"17,200","299,828"
542,《Virtual ASMRerS》 ASMR ・ボイスドラマ, , ,"17,100","4,872,151"
543,アンジェラ・フレイ, , ,"17,072",0
544,パンディ,パンディチャンネル,upd8,"17,000","668,195"
545,マールいわっか, , ,"17,000","498,926"
546,インサイドちゃん,インサイドちゃん, ,"16,900","1,031,250"
547,としおちゃんねる, , ,"16,900","205,529"
548,MIZUNO CABBAGE, , ,"16,800","1,806,904"
549,ポポナ,イドラチャンネル,セガ,"16,800","1,250,613"
550,アネネはVtuber, , ,"16,800","732,827"
551,Evelyn -Vtuber-, , ,"16,800","331,624"
552,Rook Austin, , ,"16,700","4,310,744"
553,loveちゃん・あいぴー(キズナアイ),love-pii channel【仮】, ,"16,700","61,767"
554,るあちゃんねる, , ,"16,600","2,379,061"
555,多々星シエル(ただせしえる),多々星シエル/シエルちゃんねる, ,"16,600","1,132,182"
556,ちゃんねるサーヤ, , ,"16,600","284,156"
557,餅月ひまり,ひまりちゃんねる, ,"16,500","8,699"
558,ゆっくり茶番探偵「田中」, , ,"16,400","3,352,561"
559,椿正義チャンネル, , ,"16,300","1,938,832"
560,パカエル / Pakael, , ,"16,300","846,791"
561,ReVdol!(リブドル!),『ReVdol!』公式チャンネル, ,"16,200","1,810,460"
562,星めぐり学園,星めぐり学園,星めぐり学園,"16,200","161,775"
563,桜美ゆな,Yuna Channel - 桜美ゆな -, ,"16,100","1,084,175"
564,滓残, , ,"16,100","79,835"
565,天導菜々蜜 Vtuberトシユキch, , ,"16,000","5,185,008"
566,夏目シシ,-シシチャンネル-Shishi Channel, ,"16,000","1,135,296"
567,鳳玲天々(ホウレイ・テンテン),Tenten Ch. / 鳳玲天々【めるぷら】,めるぷら,"16,000","545,808"
568,遥そらチャンネル, , ,"16,000","324,597"
569,永久累ちゃんねる, , ,"16,000","90,951"
570,皇噛ユカリ,Yukari Ch / 皇噛ユカリ【METEO】,Re:AcT男性部門,"15,800","3,310,745"
571,宇佐元杏奈,あんなチャンネル / Anna Channel, ,"15,800","939,903"
572,花芽すみれ,すーちゃんねる,LVG/IBG,"15,800","872,698"
573,奏手イヅル,Izuru Ch. 奏手イヅル,ホロスターズ,"15,800","495,101"
574,ナナホシすず,ナナホシすず Nanahoshi Suzu / エジエレキ edielec, ,"15,700","1,153,371"
575,チャンチョのゲーム部屋, , ,"15,700","971,745"
576,みゅみゅ, , ,"15,700","54,490"
577,千条アリア/ARIA PROJECT, , ,"15,600","967,199"
578,ころね ぽち,ころね ぽち -Pochi korone-, ,"15,600","920,082"
579,Wanna Join the Elle Cult?, , ,"15,600","254,532"
580,龍ヶ崎リン,Rene Channel / 龍ヶ崎リン 【シュガリリ】,シュガーリリック,"15,500","387,576"
581,クックパッドたん,クックパッドたん / Cooking Fairy, ,"15,500","311,387"
582,結目ユイ,結目ユイ【YuiTube】,AVATAR2.0,"15,500","190,946"
583,カオスロキ -Chaos Loki-, ,順位をツイート,"15,400","937,018"
584,Icotsu,ico通夜の黄泉巡りch,upd8,"15,400","697,344"
585,シア, , ,"15,300","6,648,390"
586,ヘル様,Hell Channel-ヘル様-,あいすらぼ,"15,300","532,316"
587,森永みう/Morinaga Miu, ,ぱりぷろ,"15,300","497,165"
588,現よみchannel, , ,"15,300","382,102"
589,河野都,河野都【22/7公式】,22/7,"15,300","277,493"
590,滝川みう,滝川みう【22/7公式】,22/7,"15,300","202,850"
591,KAMITSUBAKI STUDIO, ,神椿,"15,300","166,698"
592,真空管ドールズ フェルミ,真空管ドールズChannel, ,"15,200","1,717,592"
593,Siro(Game),Siro Games,.LIVE,"15,200","31,277"
594,ルチカ,ルル＝ルチカ,アマリリス組,"15,100","1,051,766"
595,アイスルメ, , ,"15,000","8,251,193"
596,双葉汐音,双葉汐音/しおちゃんねる, ,"15,000","1,097,943"
597,白咲べる / Bell Channel, , ,"15,000","854,875"
598,DD,DD channel,順位をツイート,"14,800","1,067,332"
599,瀬戸あさひ, , ,"14,800","1,014,664"
600,奇想天外あにびっと!, ,あにまーれ,"14,800","831,063"
601,山葵凛音(わさびりんね),山葵凛音,OPEN BETA,"14,700","1,530,513"
602,魔宵さきゅ, ,VGaming,"14,700","843,932"
603,こはるたいむ。, , ,"14,600","3,205,615"
604,日ノ森あんず,あんずちゃんねる/Anzu channel,バ美肉,"14,600","1,269,931"
605,kadokawagames, ,転生組,"14,500","6,306,918"
606,夜乃ネオン,Yoruno Neon Project,upd8,"14,500","425,246"
607,テトラ,テトラchannel, ,"14,500","416,421"
608,夜野とばり,とばりちゃんねる,空想コード+,"14,500","123,211"
609,みとまろゲームズ【夫婦でVtuber】, , ,"14,400","2,336,988"
610,環右金(たまきうこん),Channelタマキ., ,"14,400","320,134"
611,病井こころ,こころのリハビリちゃんねる,IRIAM,"14,400","228,266"
612,虎城アンナ,Anna Channel / 虎城アンナ 【シュガリリ】,シュガーリリック,"14,400","211,213"
613,がそりんチャンネル, , ,"14,300","8,758,724"
614,アンネと鵼の魑魅魍魎チャンネル, , ,"14,300","735,837"
615,丑牡てぃあ,丑牡てぃあ/Tia ch,順位をツイート,"14,300","441,142"
616,鳴神裁のもしもこの世界が平和だったら, , ,"14,300","292,057"
617,羽柴なつみ,Natsumi Channel / 羽柴なつみ 【あにまーれ】,あにまーれ,"14,300","213,957"
618,麻倉由衣,Asakura Yui Channel, ,"14,200","579,604"
619,獅子王クリス,Chris Channel / 獅子王クリス 【シュガリリ】,シュガーリリック,"14,200","231,809"
620,牡丹きぃ,牡丹きぃ, ,"14,200","198,001"
621,珠根うた,珠根うたChannel,GEMS COMPANY,"14,100","807,017"
622,水瓶ミア,水瓶ミア/ミアちゃんねる,Re:AcT,"14,100","731,296"
623,いわながちゃん(岩永太貴),いわながちゃん,にじさんじ(1・2期生),"14,100","308,505"
624,紙木絹,紙木絹チャンネル, ,"14,100","264,361"
625,かたりのアトリエ, , ,"14,100","249,311"
626,フィンダーおじさん, , ,"14,000","855,142"
627,ヤカ,YACA IN DA HOUSE, ,"14,000","811,910"
628,戸田ジュン,戸田ジュン【22/7公式】,22/7,"14,000","146,790"
629,はちゃちャンネル, , ,"13,900","599,669"
630,たまチャンネル, , ,"13,800","4,722,856"
631,小宙るる, ,順位をツイート,"13,800","1,006,408"
632,ReidenKasuka, , ,"13,800","443,370"
633,アミシア・ミシェラ,Amicia Michella【NIJISANJI id】,NIJISANJI ID,"13,800","302,573"
634,Takumi Desu, , ,"13,700","1,426,244"
635,がぶりえる-GabrielChannel-, , ,"13,700","975,774"
636,結城オト, , ,"13,700","854,565"
637,九条林檎,九条 林檎【Kujo Ringo Official】,AVATAR2.0,"13,700","469,614"
638,千羽黒乃, , ,"13,700","340,129"
639,Ryu phydrosamir, , ,"13,600","9,149,621"
640,理原ひなり,理原ひなり,アマリリス組,"13,600","855,218"
641,魔法少女ちあちあちゃんねる, , ,"13,600","600,665"
642,米プリンセス,米プリンセスチャンネル, ,"13,500","907,447"
643,ドットチャンネル./DotChannel., , ,"13,500","456,084"
644,ウルケン・ノース世紀末系VTuber, , ,"13,500","404,705"
645,屍鬼 Channel, ,順位をツイート,"13,500","133,802"
646,ゆい・かじ/Yui Kaji, , ,"13,400","2,562,252"
647,黒咲 ひな / Kurosaki Hina, ,順位をツイート,"13,300","798,848"
648,サクラメイ Channel, , ,"13,300","321,594"
649,さえきやひろ,やひろのおへや,IRIAM,"13,300","318,816"
650,一翔剣,一翔剣ちゃんねる, ,"13,200","1,437,132"
651,夕刻ロベル,Roberu Ch. 夕刻ロベル,ホロスターズ,"13,200","514,130"
652,琴吹ゆめ,Kotobuki Yume Official, ,"13,200","330,719"
653,SZK.chしずくちゃんねる, , ,"13,200","235,432"
654,丸山あかね,丸山あかね【22/7公式】,22/7,"13,100","129,712"
655,しぇいどch, , ,"13,000","2,236,314"
656,キツネDJ [9/1 -日- BDイベント・チケ発売中!! ], , ,"13,000","1,313,089"
657,Vtuberドーセット・アカホシ, , ,"13,000","1,117,526"
658,IpoChan Official, , ,"13,000","391,654"
659,레비 EIVE, , ,"12,900","894,769"
660,Ni-na(ニーナ),Ni-na Channel, ,"12,900","522,733"
661,ゆっくりガチャンネル, , ,"12,800","2,045,068"
662,アルランディス,Aruran Ch. アルランディス,ホロスターズ,"12,800","318,859"
663,白雪レイド,白雪レイドーReid Channelー,VGaming,"12,700","852,140"
664,コゲ犬放送局, ,順位をツイート,"12,700","803,250"
665,鏡見キラ,Kira Ch. 鏡見キラ,ホロスターズ,"12,700","204,931"
666,もつく, ,順位をツイート,"12,600","5,426,905"
667,ピースアパート, ,VEEMusic,"12,600","429,452"
668,立川絢香,立川絢香【22/7公式】,22/7,"12,600","106,289"
669,モロトフカクテル ゲーミング, , ,"12,500","3,955,894"
670,TIE FLAME, ,転生組,"12,500","1,838,744"
671,灰宮けい,Kei Channel -灰宮けい-,あいすらぼ,"12,500","424,499"
672,鷹森ツヅル, ,順位をツイート,"12,500","192,532"
673,福岡バーチャルぶらり旅よかとプロジェクトR, , ,"12,500","188,614"
674,GEMS COMPANY公式チャンネル, ,GEMS COMPANY,"12,400","1,011,162"
675,はちこ【VTuber】, , ,"12,400","427,288"
676,季咲あんこ,Anko Channel / 季咲あんこ 【ブイアパ】,ブイアパ,"12,400","397,480"
677,斎藤ニコル,斎藤ニコル【22/7公式】,22/7,"12,400","125,334"
678,メイカの漢気TV, , ,"12,400","52,531"
679,きのこむしの清楚なチャンネル, , ,"12,300","350,392"
680,姫咲ゆずる, ,のりプロ,"12,300",0
681,しろろ, , ,"12,200","306,605"
682,かくげー! / Fighting Games, , ,"12,100","4,441,708"
683,よなぐにさん, , ,"12,100","3,913,997"
684,市松人形Vtuber市松寿ゞ謡, , ,"12,100","866,890"
685,ねむ,ねむちゃんねる【バーチャル美少女YouTuber】,バ美肉,"12,100","720,591"
686,桜樹みりあ,桜樹みりあ-ゲーム部,Unlimited,"12,000","469,003"
687,由持もに(よしもち もに),由持もに,アマリリス組,"12,000","301,467"
688,KIRARA CHANNEL, , ,"11,900","348,833"
689,たくあん, , ,"11,800","6,097,404"
690,琴乃葉 雪乃。, , ,"11,800","1,076,210"
691,彩 まよい【ミリタリーVTuber】, , ,"11,700","477,083"
692,りむとまき channel, ,バ美肉,"11,700","472,348"
693,灰原あかね,Akane Channel / 灰原あかね 【あにまーれ】,あにまーれ,"11,700","123,237"
694,あやとボイス, , ,"11,700","68,960"
695,レッサーくん/バーチャルYouTuber, , ,"11,700","64,885"
696,ナイセンチャンネル naisen channel, , ,"11,600","1,267,476"
697,眠居りぃこ,-Nemui channel-眠居 りぃこ,フェレット女学院,"11,600","771,444"
698,LittleRinnyChan, , ,"11,500","1,403,514"
699,ツキト ハナ - Hana Tsukito -, ,WACTOR,"11,500","345,531"
700,花咲みやび,Miyabi Ch. 花咲みやび,ホロスターズ,"11,500","312,155"
701,塩天使リエル,塩天使ちゃんねる,upd8,"11,500","198,089"
702,柊椋[ひいらぎちゃんねる], ,バ美肉,"11,400","707,080"
703,来栖らいあ, , ,"11,400","460,163"
704,如月こより / KisaragiKoyori, , ,"11,400","148,398"
705,夏玥白夜, , ,"11,400","139,349"
